,Proj Pts,Salary,QB,RB,RB,WR,WR,WR,TE,RB/WR/TE,DST
0,151.86304833333335,49900.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Raheem Mostert,Falcons 
1,150.26929833333335,49900.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Raheem Mostert,Jaguars 
2,150.84704833333333,49800.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Raheem Mostert,Buccaneers 
3,150.34704833333333,49800.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Raheem Mostert,Browns 
4,149.25229833333336,49700.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Raheem Mostert,Jets 
5,149.06773833333335,49700.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Raheem Mostert,Cardinals 
6,147.48480833333335,49600.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Raheem Mostert,Dolphins 
7,149.41067333333334,49600.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Raheem Mostert,WAS Football Team 
8,146.09896499999996,49800.0,Russell Wilson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Raheem Mostert,Bears 
9,146.86359,49700.0,Russell Wilson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Raheem Mostert,Patriots 
10,147.42196499999997,49600.0,Russell Wilson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Raheem Mostert,Ravens 
11,146.90596499999998,49500.0,Russell Wilson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Raheem Mostert,Colts 
12,144.836715,49700.0,Josh Allen,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Raheem Mostert,Bills 
13,144.883215,49600.0,Josh Allen,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Raheem Mostert,Eagles 
14,145.429715,49500.0,Josh Allen,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Raheem Mostert,49ers 
15,146.60238166666667,49900.0,Matt Ryan,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Raheem Mostert,Bills 
16,146.64888166666668,49800.0,Matt Ryan,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Raheem Mostert,Eagles 
17,147.19538166666666,49700.0,Matt Ryan,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Raheem Mostert,49ers 
18,144.80838166666666,49500.0,Matt Ryan,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Raheem Mostert,Bears 
19,142.28229833333333,49500.0,Aaron Rodgers,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Raheem Mostert,Bills 
20,142.550215,49500.0,Carson Wentz,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Raheem Mostert,Bills 
21,142.836715,49700.0,Tom Brady,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Raheem Mostert,Bills 
22,142.883215,49600.0,Tom Brady,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Raheem Mostert,Eagles 
23,143.429715,49500.0,Tom Brady,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Raheem Mostert,49ers 
24,141.32888166666666,49600.0,Kyler Murray,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Raheem Mostert,Bills 
25,141.37538166666667,49500.0,Kyler Murray,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Raheem Mostert,Eagles 
26,147.681715,49900.0,Drew Brees,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Raheem Mostert,Eagles 
27,148.22821499999998,49800.0,Drew Brees,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Raheem Mostert,49ers 
28,145.84121499999998,49600.0,Drew Brees,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Raheem Mostert,Bears 
29,146.60584,49500.0,Drew Brees,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Raheem Mostert,Patriots 
30,148.31492999999998,49900.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Emmanuel Sanders,Saints 
31,147.78318,49800.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,John Brown,Saints 
32,146.30756888888888,49900.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,A.J. Green,Saints 
33,146.0536522222222,49700.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Marvin Jones Jr.,Saints 
34,146.0324161111111,49800.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Terry McLaurin,Saints 
35,147.80235166666665,49500.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Hunter Henry,Saints 
36,148.983435,49700.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Jared Cook,Saints 
37,149.56863166666665,49700.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Mark Ingram II,Saints 
38,149.486965,49500.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Marlon Mack,Saints 
39,148.24404833333332,49800.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Le'Veon Bell,Saints 
40,147.84241999999998,49900.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Jonathan Taylor,Saints 
41,147.36113166666667,49600.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Devin Singletary,Saints 
42,146.17336055555555,49900.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Julian Edelman,Jets 
43,145.98880055555554,49900.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Julian Edelman,Cardinals 
44,144.40587055555554,49800.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Julian Edelman,Dolphins 
45,146.33173555555553,49800.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Julian Edelman,WAS Football Team 
46,144.2029677777778,49900.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Calvin Ridley,Dolphins 
47,146.12883277777777,49900.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Calvin Ridley,WAS Football Team 
48,148.4291522222222,49900.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,DK Metcalf,Falcons 
49,146.8354022222222,49900.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,DK Metcalf,Jaguars 
50,147.41315222222218,49800.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,DK Metcalf,Buccaneers 
51,146.91315222222218,49800.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,DK Metcalf,Browns 
52,145.8184022222222,49700.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,DK Metcalf,Jets 
53,145.6338422222222,49700.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,DK Metcalf,Cardinals 
54,144.0509122222222,49600.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,DK Metcalf,Dolphins 
55,145.97677722222218,49600.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,DK Metcalf,WAS Football Team 
56,147.95118,49900.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Emmanuel Sanders,Seahawks 
